Biological Process,Sample 1 Biological Process Count,Sample 2 Biological Process Count
http://purl.obolibrary.org/obo/GO_0031221,8,5
http://purl.obolibrary.org/obo/GO_0000041,3,6
http://purl.obolibrary.org/obo/GO_0006487,7,4
http://purl.obolibrary.org/obo/GO_0046413,10,18
http://purl.obolibrary.org/obo/GO_0019700,10,9
http://purl.obolibrary.org/obo/GO_0042916,10,9
http://purl.obolibrary.org/obo/GO_0046782,8,16
http://purl.obolibrary.org/obo/GO_0006276,5,4
http://purl.obolibrary.org/obo/GO_0030244,10,9
http://purl.obolibrary.org/obo/GO_0042742,0,1
http://purl.obolibrary.org/obo/GO_0070475,4,0
http://purl.obolibrary.org/obo/GO_0006888,7,2
http://purl.obolibrary.org/obo/GO_0015708,2,0
http://purl.obolibrary.org/obo/GO_0006955,0,4
http://purl.obolibrary.org/obo/GO_0000746,5,5
http://purl.obolibrary.org/obo/GO_0006952,7,1
http://purl.obolibrary.org/obo/GO_0009607,10,3
http://purl.obolibrary.org/obo/GO_0030153,2,0
http://purl.obolibrary.org/obo/GO_0009439,4,3
http://purl.obolibrary.org/obo/GO_0009972,4,3
http://purl.obolibrary.org/obo/GO_0006621,0,1
http://purl.obolibrary.org/obo/GO_0009247,4,10
http://purl.obolibrary.org/obo/GO_0030245,3,5
http://purl.obolibrary.org/obo/GO_0006051,1,3
http://purl.obolibrary.org/obo/GO_0015995,4,8
http://purl.obolibrary.org/obo/GO_0019634,9,18
http://purl.obolibrary.org/obo/GO_0009298,2,13
http://purl.obolibrary.org/obo/GO_0051056,1,0
http://purl.obolibrary.org/obo/GO_0035023,8,4
http://purl.obolibrary.org/obo/GO_0019402,5,4
http://purl.obolibrary.org/obo/GO_0000079,10,0
http://purl.obolibrary.org/obo/GO_0007017,0,1
http://purl.obolibrary.org/obo/GO_0006075,5,1
http://purl.obolibrary.org/obo/GO_0001510,8,5
http://purl.obolibrary.org/obo/GO_0009452,8,5
http://purl.obolibrary.org/obo/GO_0032955,1,4
http://purl.obolibrary.org/obo/GO_0006198,8,2
http://purl.obolibrary.org/obo/GO_0019082,0,1
http://purl.obolibrary.org/obo/GO_0019058,0,5
http://purl.obolibrary.org/obo/GO_0009411,2,2
http://purl.obolibrary.org/obo/GO_0019605,0,0
http://purl.obolibrary.org/obo/GO_0006869,10,9
http://purl.obolibrary.org/obo/GO_0042157,6,7
http://purl.obolibrary.org/obo/GO_0006011,0,0
http://purl.obolibrary.org/obo/GO_0006024,0,4
http://purl.obolibrary.org/obo/GO_0043571,3,0
http://purl.obolibrary.org/obo/GO_0007205,2,1
http://purl.obolibrary.org/obo/GO_0015740,2,0
http://purl.obolibrary.org/obo/GO_0006488,4,0
http://purl.obolibrary.org/obo/GO_0000921,0,0
http://purl.obolibrary.org/obo/GO_1902209,4,1
http://purl.obolibrary.org/obo/GO_0034755,4,4
http://purl.obolibrary.org/obo/GO_0051016,2,0
http://purl.obolibrary.org/obo/GO_0006683,1,0
http://purl.obolibrary.org/obo/GO_0006506,11,4
http://purl.obolibrary.org/obo/GO_0006480,1,0
http://purl.obolibrary.org/obo/GO_0006471,2,3
http://purl.obolibrary.org/obo/GO_0045490,3,5
http://purl.obolibrary.org/obo/GO_0015716,3,3
http://purl.obolibrary.org/obo/GO_0046938,4,1
http://purl.obolibrary.org/obo/GO_0050821,0,0
http://purl.obolibrary.org/obo/GO_0000398,5,1
http://purl.obolibrary.org/obo/GO_0032012,5,1
http://purl.obolibrary.org/obo/GO_0000226,5,1
http://purl.obolibrary.org/obo/GO_0090063,5,1
http://purl.obolibrary.org/obo/GO_0045040,6,0
http://purl.obolibrary.org/obo/GO_0030255,1,3
http://purl.obolibrary.org/obo/GO_0042147,7,1
http://purl.obolibrary.org/obo/GO_0042549,0,0
http://purl.obolibrary.org/obo/GO_0006914,4,1
